date,value
2026-05-15,1.325987
2026-05-18,1.326177
2026-05-19,1.325093
2026-05-20,1.325201
2026-05-21,1.32534
2026-05-22,1.325442
2026-05-25,1.325682
2026-05-26,1.32654
2026-05-28,1.327029
2026-05-29,1.327771
2026-06-01,1.328134
2026-06-02,1.328622
2026-06-03,1.328661
2026-06-04,1.328605
2026-06-05,1.328946
2026-06-21,1.335265
2026-06-19,1.334974
2026-06-22,1.335351
2026-06-23,1.335535
2026-06-24,1.335623
2026-06-25,1.336054
2026-06-26,1.336158
2026-06-29,1.336477
2026-06-30,1.336891
2026-07-01,1.336945
2026-07-02,1.337032
2026-07-03,1.337151
2026-07-06,1.337668
2026-07-07,1.338086
2026-07-08,1.338112
2026-07-09,1.338055
2026-07-10,1.338239
2026-07-13,1.338569
2026-07-14,1.338456
2026-07-15,1.338808
2026-07-16,1.338934
2026-07-17,1.338835
2026-07-20,1.339061
2026-07-21,1.339477
2026-07-22,1.339555
2026-07-23,1.339649
2026-07-24,1.33931
2026-07-27,1.340178
2026-07-28,1.340605
2026-07-29,1.340768
