date,value
2026-05-14,126.229158
2026-05-17,124.318909
2026-05-18,123.893198
2026-05-19,122.894884
2026-05-20,122.795181
2026-05-21,124.16637
2026-05-24,124.423574
2026-05-25,124.998456
2026-05-27,127.069281
2026-05-28,127.245833
2026-05-31,128.513376
2026-06-01,129.662561
2026-06-02,130.211265
2026-06-03,130.65882
2026-06-17,126.268931
2026-06-18,126.611423
2026-06-21,127.261989
2026-06-22,128.427025
2026-06-23,126.555043
2026-06-24,126.420593
2026-06-25,126.485199
2026-06-26,124.630685
2026-06-29,124.870013
2026-06-30,125.246829
2026-07-01,126.470533
2026-07-02,125.416567
2026-07-05,126.105215
2026-07-06,126.680149
2026-07-07,125.342299
2026-07-08,125.377275
2026-07-09,125.767066
2026-07-12,126.070266
2026-07-13,125.158509
2026-07-14,124.056766
2026-07-15,125.186702
2026-07-16,124.499359
2026-07-19,122.587554
2026-07-20,122.685684
2026-07-21,124.246999
2026-07-22,124.467709
2026-07-23,124.801303
2026-07-24,123.852954
2026-07-27,124.126908
2026-07-28,122.071644
2026-07-29,121.136929
2026-07-30,121.703612
2026-08-02,123.653555
2026-08-03,122.671904
2026-08-04,123.407073
2026-08-05,123.593763
2026-08-06,123.277545
2026-08-09,123.609831
2026-08-10,123.661066
2026-08-11,124.731503
2026-08-12,124.894174
