date,value
2026-05-15,102.108862
2026-05-18,102.134739
2026-05-19,102.13563
2026-05-20,102.15163
2026-05-21,102.156241
2026-05-22,102.17111
2026-05-25,102.197224
2026-05-26,102.203272
2026-05-28,102.213752
2026-05-29,102.229321
2026-06-01,102.2339
2026-06-02,102.254964
2026-06-03,102.254781
2026-06-04,102.248004
2026-06-18,102.41029
2026-06-19,102.438497
2026-06-22,102.477512
2026-06-23,102.49015
2026-06-24,102.497477
2026-06-25,102.507551
2026-06-26,102.51616
2026-06-29,102.559937
2026-06-30,102.596021
2026-07-01,102.600339
2026-07-02,102.604319
2026-07-03,102.607456
2026-07-06,102.641804
2026-07-07,102.66718
2026-07-08,102.674566
2026-07-09,102.679504
2026-07-10,102.692253
2026-07-13,102.720819
2026-07-14,102.736082
2026-07-15,102.750274
2026-07-16,102.757522
2026-07-17,102.759601
2026-07-20,102.783765
2026-07-21,102.821162
2026-07-22,102.822341
2026-07-23,102.831378
2026-07-24,102.807773
2026-07-28,102.89202
2026-07-29,102.905825
2026-07-30,102.917789
2026-07-31,102.928244
2026-08-03,102.96851
2026-08-04,102.99592
2026-08-05,103.012178
2026-08-06,103.035808
2026-08-07,103.058871
2026-08-10,103.119364
