date,value
2026-03-19,0.92118
2026-03-23,0.908127
2026-03-24,0.913832
2026-03-25,0.930217
2026-03-26,0.921076
2026-03-27,0.921282
2026-03-30,0.905498
2026-03-31,0.917578
2026-04-01,0.925089
2026-04-06,0.917705
2026-04-07,0.919142
2026-04-08,0.939392
2026-04-10,0.940769
2026-04-13,0.934355
2026-04-14,0.928039
2026-04-15,0.93573
2026-04-16,0.935752
2026-04-17,0.925811
2026-04-20,0.928604
2026-04-21,0.928984
2026-04-22,0.924484
2026-04-23,0.923576
2026-04-24,0.917358
2026-04-27,0.911184
2026-04-28,0.905889
2026-04-29,0.912164
2026-04-30,0.900752
2026-05-04,0.918308
2026-05-05,0.911525
2026-05-06,0.922264
2026-05-07,0.932518
2026-05-08,0.921249
2026-05-11,0.925126
2026-05-12,0.922842
2026-05-13,0.918937
2026-05-15,0.926818
2026-05-18,0.921301
2026-05-19,0.914383
2026-05-20,0.91406
2026-05-21,0.91825
2026-05-22,0.924738
2026-05-25,0.932059
2026-05-28,0.909094
2026-05-29,0.895286
2026-06-01,0.899929
2026-06-02,0.917398
2026-06-03,0.923619
2026-06-04,0.917237
2026-06-05,0.922851
2026-06-19,0.953882
2026-06-22,0.938308
2026-06-23,0.952363
2026-06-24,0.931501
2026-06-25,0.943796
2026-06-26,0.943948
2026-06-29,0.953358
2026-06-30,0.93846
2026-07-01,0.943409
2026-07-02,0.952136
2026-07-03,0.961718
2026-07-06,0.967201
2026-07-07,0.970765
2026-07-08,0.975173
2026-07-09,0.96711
2026-07-10,0.976813
2026-07-13,0.973474
2026-07-14,0.971957
2026-07-15,0.979135
2026-07-16,0.98263
2026-07-17,0.994883
2026-07-20,0.996952
2026-07-21,0.984203
2026-07-22,0.974008
2026-07-23,0.976358
2026-07-24,0.976009
2026-07-27,0.981186
2026-07-28,0.979486
2026-07-29,0.987058
2026-07-30,0.97967
2026-07-31,0.968841
2026-08-03,0.98358
2026-08-04,0.978031
2026-08-05,0.976404
2026-08-06,0.975083
2026-08-07,0.976971
2026-08-10,0.976711
2026-08-11,0.982509
2026-08-12,0.988628
2026-08-13,0.976478
2026-08-14,0.977849
2026-08-17,0.972276
2026-08-18,0.97288
2026-08-19,0.956598
2026-08-20,0.968954
