date,value
2026-04-30,100.5847
2026-05-04,100.6106
2026-05-05,100.6263
2026-05-06,100.647
2026-05-07,100.6467
2026-05-08,100.6728
2026-05-12,100.6515
2026-05-14,100.6057
2026-05-15,100.5777
2026-05-18,100.5546
2026-05-19,100.5494
2026-05-20,100.5365
2026-05-21,100.5886
2026-05-22,100.5704
2026-05-25,100.5958
2026-05-26,100.6688
2026-05-28,100.7073
2026-05-29,100.7251
2026-06-01,100.74
2026-06-02,100.7285
2026-06-03,100.7487
2026-06-04,100.7565
2026-06-18,100.8323
2026-06-19,100.8406
2026-06-22,100.8393
2026-06-23,100.8636
2026-06-24,100.8941
2026-06-25,100.8956
2026-06-26,100.9202
2026-06-29,100.947
2026-06-30,100.9462
2026-07-01,100.9498
2026-07-02,100.968
2026-07-03,100.9765
2026-07-06,101.0173
2026-07-07,100.9871
2026-07-08,100.985
2026-07-09,101.0108
2026-07-10,100.9978
2026-07-13,100.9958
2026-07-14,101.0257
2026-07-15,101.0716
2026-07-16,101.0793
2026-07-17,101.0576
2026-07-20,101.0821
2026-07-21,101.0813
2026-07-22,101.0638
2026-07-23,101.0174
2026-07-24,101.0239
2026-07-27,101.0942
2026-07-28,101.0901
2026-07-29,101.1256
