date,value
2026-05-04,1000.3658
2026-05-05,1000.4371
2026-05-07,1000.5791
2026-05-08,1000.65
2026-05-11,1000.8627
2026-05-12,1000.9336
2026-05-15,1001.1464
2026-05-18,1001.3592
2026-05-19,1001.4301
2026-05-21,1001.572
2026-05-22,1001.1778
2026-05-25,1001.4672
2026-05-26,1001.5233
2026-05-28,1001.8296
2026-05-29,1.0
2026-06-01,1002.8271
2026-06-02,1003.9623
2026-06-03,1004.5255
2026-06-04,1004.4511
2026-06-05,1004.7174
2026-06-19,1021.7296
2026-06-22,1022.1536
2026-06-23,1020.1713
2026-06-24,1019.8864
2026-06-25,1022.0642
2026-06-26,1022.1311
2026-06-29,1021.6565
2026-06-30,1021.6994
2026-07-01,1019.6369
2026-07-02,1020.0829
2026-07-03,1020.5125
