date,value
2026-03-19,131.8937
2026-03-24,131.8203
2026-03-25,131.8837
2026-03-26,131.9169
2026-03-27,131.9333
2026-03-30,131.9704
2026-03-31,131.975
2026-04-01,132.0078
2026-04-06,132.0936
2026-04-07,132.1271
2026-04-08,132.2552
2026-04-10,132.2725
2026-04-13,132.3025
2026-04-14,132.3386
2026-04-15,132.3538
2026-04-16,132.4002
2026-04-17,132.4434
2026-04-20,132.4894
2026-04-21,132.505
2026-04-22,132.5433
2026-04-23,132.5469
2026-04-24,132.5242
2026-04-27,132.5523
2026-04-28,132.5488
2026-04-29,132.5167
2026-05-04,132.538
2026-05-05,132.4486
2026-05-07,132.3155
2026-05-08,132.3108
2026-05-11,132.35
2026-05-12,132.2735
2026-05-15,132.2685
2026-05-18,132.2824
2026-05-19,132.1621
2026-05-21,132.1742
2026-05-22,132.18
2026-05-25,132.2254
2026-05-26,132.2878
2026-05-28,132.3336
2026-05-29,132.3967
2026-06-01,132.4282
2026-06-02,132.4552
2026-06-03,132.4764
2026-06-04,132.4912
2026-06-05,132.5373
2026-06-19,132.9561
2026-06-22,132.9735
2026-06-23,132.994
2026-06-24,132.9994
2026-06-25,133.0375
2026-06-26,133.0505
