date,value
2026-05-14,61.6708
2026-05-15,61.4865
2026-05-18,61.3672
2026-05-19,61.256
2026-05-20,61.2337
2026-05-21,61.1869
2026-05-22,61.3507
2026-05-25,61.1269
2026-05-26,61.4307
2026-05-28,61.5272
2026-05-29,61.6577
2026-06-01,61.7707
2026-06-02,61.749
2026-06-03,61.6215
2026-06-04,61.4093
2026-06-18,60.2278
2026-06-19,60.38
2026-06-22,60.6035
2026-06-23,60.8234
2026-06-24,60.9119
2026-06-25,60.7813
2026-06-26,60.8671
2026-06-29,60.754
2026-06-30,60.9489
2026-07-01,61.0726
2026-07-02,61.0663
