date,value
2026-05-14,1.3089
2026-05-15,1.3108
2026-05-18,1.3189
2026-05-19,1.3098
2026-05-20,1.3041
2026-05-21,1.3154
2026-05-22,1.3277
2026-05-25,1.3276
2026-05-26,1.3344
2026-05-28,1.3331
2026-05-29,1.3601
2026-06-01,1.3584
2026-06-02,1.3634
2026-06-03,1.3561
2026-06-04,1.3458
2026-06-18,1.3541
2026-06-19,1.354
2026-06-22,1.3636
2026-06-23,1.3634
2026-06-24,1.3263
2026-06-25,1.3195
2026-06-26,1.3235
2026-06-29,1.337
2026-06-30,1.3616
2026-07-01,1.3538
2026-07-02,1.3472
2026-07-03,1.3472
2026-07-06,1.3454
2026-07-07,1.3325
2026-07-08,1.3256
2026-07-09,1.3382
2026-07-10,1.3432
2026-07-13,1.3302
2026-07-14,1.3315
2026-07-15,1.3431
2026-07-16,1.3272
2026-07-17,1.2995
2026-07-20,1.3095
2026-07-21,1.3102
2026-07-22,1.3134
2026-07-23,1.3087
2026-07-24,1.2898
2026-07-27,1.2941
2026-07-28,1.2654
2026-07-29,1.2528
2026-07-30,1.2723
2026-07-31,1.3016
2026-08-03,1.3074
2026-08-04,1.3385
2026-08-05,1.3665
2026-08-06,1.3482
2026-08-07,1.3594
2026-08-10,1.3621
2026-08-11,1.3657
2026-08-12,1.3738
2026-08-13,1.3774
2026-08-14,1.3655
2026-08-17,1.3637
2026-08-18,1.3411
2026-08-19,1.3323
2026-08-20,1.3334
2026-08-24,1.3213
2026-08-25,1.3295
