date,value
2026-03-19,1.466614
2026-03-23,1.452922
2026-03-24,1.457502
2026-03-25,1.470881
2026-03-26,1.465783
2026-03-27,1.465171
2026-03-30,1.453762
2026-04-01,1.468778
2026-04-06,1.46448
2026-04-07,1.468653
2026-04-08,1.483448
2026-04-10,1.486126
2026-04-13,1.481248
2026-04-14,1.478836
2026-04-16,1.483276
2026-04-17,1.476573
2026-04-20,1.47856
2026-04-21,1.480536
2026-04-22,1.477484
2026-04-23,1.47462
2026-04-24,1.469572
2026-04-27,1.4665
2026-04-28,1.459456
2026-04-29,1.464269
2026-04-30,1.457284
2026-05-04,1.464937
2026-05-05,1.457591
2026-05-06,1.461333
2026-05-07,1.471662
2026-05-08,1.464452
2026-05-11,1.464032
2026-05-12,1.465031
2026-05-13,1.462165
2026-05-15,1.463353
2026-05-18,1.458817
2026-05-19,1.45384
2026-05-21,1.45604
2026-05-22,1.461392
2026-05-25,1.46424
2026-05-26,1.461372
2026-05-28,1.45244
2026-06-01,1.448081
2026-06-02,1.457477
2026-06-03,1.461115
2026-06-04,1.455294
2026-06-05,1.458967
2026-06-19,1.480029
2026-06-22,1.474441
2026-06-23,1.480488
2026-06-24,1.469737
2026-06-25,1.476401
2026-06-26,1.477487
2026-06-29,1.484734
