date,value
2026-03-18,1.557432
2026-03-23,1.556755
2026-03-24,1.557059
2026-03-25,1.55725
2026-03-26,1.557351
2026-03-30,1.557459
2026-03-31,1.558126
2026-04-01,1.558482
2026-04-06,1.558638
2026-04-07,1.558726
2026-04-10,1.559544
2026-04-13,1.559889
2026-04-14,1.560058
2026-04-16,1.560433
2026-04-20,1.560578
2026-04-21,1.560753
2026-04-22,1.560804
2026-04-23,1.560977
2026-04-24,1.562785
2026-04-27,1.561533
2026-04-28,1.561713
2026-04-30,1.564731
2026-05-04,1.56508
2026-05-05,1.565307
2026-05-06,1.565622
2026-05-07,1.565913
2026-05-08,1.566051
2026-05-11,1.566207
2026-05-12,1.566211
2026-05-14,1.566769
2026-05-15,1.566041
2026-05-18,1.564894
2026-05-19,1.565184
2026-05-21,1.567234
2026-05-22,1.566136
2026-05-25,1.566392
2026-05-26,1.5672
