date,value
2026-03-18,1.535436
2026-03-23,1.524853
2026-03-24,1.523031
2026-03-25,1.531091
2026-03-26,1.503938
2026-04-01,1.526924
2026-04-06,1.535523
2026-04-07,1.536691
2026-04-10,1.583372
2026-04-13,1.599272
2026-04-14,1.618088
2026-04-16,1.634303
2026-04-20,1.651121
2026-04-21,1.639803
2026-04-22,1.656711
2026-04-23,1.650159
2026-04-24,1.662914
2026-04-27,1.665606
2026-04-28,1.657386
2026-05-04,1.671814
2026-05-05,1.684662
2026-05-06,1.708723
2026-05-07,1.70303
2026-05-08,1.71687
2026-05-11,1.720839
2026-05-12,1.718167
2026-05-14,1.74106
2026-05-15,1.719994
2026-05-18,1.718635
2026-05-19,1.707686
2026-05-21,1.72837
2026-05-22,1.735142
2026-05-25,1.735142
2026-05-26,1.746283
2026-05-28,1.755759
2026-05-29,1.760062
2026-06-01,1.764494
2026-06-02,1.76682
2026-06-03,1.753361
2026-06-19,1.739624
2026-06-22,1.734094
2026-06-23,1.709481
2026-06-24,1.708337
2026-06-25,1.707931
2026-06-29,1.725531
2026-06-30,1.736351
