date,value
2026-05-04,1.0
2026-05-05,0.99932
2026-05-06,0.999893
2026-05-07,0.999938
2026-05-08,1.000214
2026-05-11,1.000263
2026-05-12,1.000345
2026-05-14,1.000477
2026-05-15,1.00074
2026-05-18,1.00078
2026-05-19,1.000854
2026-05-20,1.000946
2026-05-21,1.001026
2026-05-22,1.001266
2026-05-25,1.001312
2026-05-26,1.001444
2026-05-28,1.0015
2026-05-29,1.001767
2026-06-01,1.001818
2026-06-02,1.001906
2026-06-03,1.001985
2026-06-04,1.002074
2026-06-18,1.003154
2026-06-19,1.003415
2026-06-22,1.003457
2026-06-23,1.003538
2026-06-24,1.003633
2026-06-25,1.003727
2026-06-26,1.004055
2026-06-29,1.004089
2026-06-30,1.004157
2026-07-01,1.004224
2026-07-02,1.004349
2026-07-03,1.004617
2026-07-06,1.00469
2026-07-07,1.004765
2026-07-08,1.004813
2026-07-09,1.004898
2026-07-10,1.005239
