date,value
2026-03-18,1.676191
2026-03-19,1.675939
2026-03-23,1.674091
2026-03-24,1.673841
2026-03-25,1.675476
2026-03-26,1.676475
2026-03-27,1.676848
2026-03-30,1.676922
2026-03-31,1.676965
2026-04-01,1.678057
2026-04-06,1.678779
2026-04-07,1.679095
2026-04-08,1.680781
2026-04-10,1.681377
2026-04-13,1.68159
2026-04-14,1.681928
2026-04-15,1.681361
2026-04-16,1.682066
2026-04-20,1.683036
2026-04-21,1.683675
2026-04-22,1.68396
2026-04-23,1.684173
2026-04-24,1.68367
2026-04-27,1.683965
2026-04-28,1.683758
2026-04-29,1.684055
2026-04-30,1.683506
2026-05-04,1.684244
2026-05-05,1.682564
2026-05-06,1.682349
2026-05-07,1.681175
2026-05-08,1.680893
2026-05-11,1.681065
